,parameter
adj_avg_views,2.3644223179609076
lang_en,0.055720491440441514
lang_zh,0.15990116033511093
lang_ru,0.33808002018196925
lang_de,0.11499064029915113
lang_fr,0.4344697245544957
lang_as,0.03811515813641364
game_dota,0.011718465513407161
game_lol,-0.06412259365150774
game_sc2,0.31401843050714506
game_hs,-0.008684526159721512
lang_share,0.3295715948443205
adj_others_views,-0.13760124180642208
adj_others_views2,0.07681069941616336
twitch_hhi,0.6103723318703287
game_hhi,-0.04871756221371848
adj_game_others,0.044194475376340414
adj_game_others2,-0.011024204181350333
hour_06,0.0917859740382897
hour_12,0.13749021651377272
hour_18,0.08647019407988293
adj_avg_viewsXadj_others_views,0.07708796464858107
adj_avg_viewsXadj_others_views2,0.32970163572321953
adj_avg_viewsXtwitch_hhi,-19.26851115518516
adj_avg_viewsXhour_06,-0.609411167915427
adj_avg_viewsXhour_12,-0.7675155505260205
adj_avg_viewsXhour_18,1.5912826018750315
lang_enXlang_share,-0.32917085948943825
lang_enXhour_06,-0.06070775509368853
lang_enXhour_12,-0.04441911196105347
lang_enXhour_18,-0.034551089554652345
lang_zhXlang_share,-1.5727528768153471
lang_zhXhour_06,-0.09445141805225007
lang_zhXhour_12,0.19053477383686068
lang_zhXhour_18,-0.07846970875183222
lang_ruXlang_share,-2.430508893185775
lang_ruXhour_06,-0.07546277490119782
lang_ruXhour_12,-0.17641782492410957
lang_ruXhour_18,0.1500838054110696
lang_deXlang_share,-2.047164076388939
lang_deXhour_06,0.021498708647821916
lang_deXhour_12,-0.03275904349431348
lang_deXhour_18,0.3188738079123209
lang_frXlang_share,-5.995003371277991
lang_frXhour_06,-0.20086271151940685
lang_frXhour_12,-0.2213123157999718
lang_frXhour_18,0.07466717974787183
lang_asXlang_share,0.3339516094041381
lang_asXhour_06,-0.07376387218333523
lang_asXhour_12,0.04530883032254572
lang_asXhour_18,-0.03621633128588348
game_dotaXgame_hhi,-0.26912099106808685
game_dotaXadj_game_others,0.0761227308131343
game_dotaXadj_game_others2,-0.005763291059641851
game_dotaXhour_06,-0.025058854850730394
game_dotaXhour_12,0.04853326404585148
game_dotaXhour_18,-0.06323106358117786
game_dotaXlang_en,0.058744248892789314
game_dotaXlang_zh,0.022520890552712218
game_dotaXlang_ru,-0.052492601091530706
game_dotaXlang_de,-0.10837052810778577
game_dotaXlang_fr,-0.004157538569187705
game_dotaXlang_as,-0.11442144072890961
game_lolXgame_hhi,-0.40392472747760966
game_lolXadj_game_others,0.01641596954410085
game_lolXadj_game_others2,0.009109926216286673
game_lolXhour_06,-0.0869323482630533
game_lolXhour_12,-0.10056688222460555
game_lolXhour_18,-0.022446316877945738
game_lolXlang_en,-0.0023557675424272784
game_lolXlang_zh,-0.10160778911222659
game_lolXlang_ru,-0.03627162128520904
game_lolXlang_de,-0.016599616281928256
game_lolXlang_fr,0.08129308876566202
game_lolXlang_as,-0.013657177577084664
game_sc2Xgame_hhi,-0.24710635622296376
game_sc2Xadj_game_others,-0.875532316913839
game_sc2Xadj_game_others2,-1.377684061529928
game_sc2Xhour_06,-0.021891500370016057
game_sc2Xhour_12,-0.1860183881158441
game_sc2Xhour_18,0.005112184627493129
game_sc2Xlang_en,0.003738149497183752
game_sc2Xlang_zh,-0.15023130245801822
game_sc2Xlang_ru,-0.13382659176740958
game_sc2Xlang_de,-0.3981380268465437
game_sc2Xlang_fr,0.15819137984763612
game_sc2Xlang_as,0.1360050089450833
game_hsXgame_hhi,-0.26878294338701814
game_hsXadj_game_others,0.3811786119111615
game_hsXadj_game_others2,-0.19531071888175455
game_hsXhour_06,-0.14048163153216664
game_hsXhour_12,-0.1460761740715631
game_hsXhour_18,0.1028602398412298
game_hsXlang_en,0.0643131269493119
game_hsXlang_zh,-0.10361727336935625
game_hsXlang_ru,-0.06393348191401936
game_hsXlang_de,0.05111911749989715
game_hsXlang_fr,0.09362335845306194
game_hsXlang_as,-0.09488540923549871
